candidate_id,reference_range,active_window,sweep_threshold,confirmation,target,max_hold_minutes,max_trades,status
ST47B_Asia_London_SW0p35_close_back_inside_1R,Asia,London,"max(0.10, ATR14*0.35)",close_back_inside,1R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_London_SW0p35_close_back_inside_1p5R,Asia,London,"max(0.10, ATR14*0.35)",close_back_inside,1.5R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_London_SW0p35_close_back_inside_plus_0p10_ATR_midpoint,Asia,London,"max(0.10, ATR14*0.35)",close_back_inside_plus_0.10_ATR,midpoint,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_London_SW0p35_close_back_inside_plus_0p10_ATR_opposite_side,Asia,London,"max(0.10, ATR14*0.35)",close_back_inside_plus_0.10_ATR,opposite_side,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_London_SW0p35_close_back_inside_plus_0p10_ATR_1R,Asia,London,"max(0.10, ATR14*0.35)",close_back_inside_plus_0.10_ATR,1R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_London_SW0p35_close_back_inside_plus_0p10_ATR_1p5R,Asia,London,"max(0.10, ATR14*0.35)",close_back_inside_plus_0.10_ATR,1.5R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_NY_SW0p10_close_back_inside_midpoint,Asia,NY,"max(0.10, ATR14*0.10)",close_back_inside,midpoint,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_NY_SW0p10_close_back_inside_opposite_side,Asia,NY,"max(0.10, ATR14*0.10)",close_back_inside,opposite_side,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_NY_SW0p10_close_back_inside_1R,Asia,NY,"max(0.10, ATR14*0.10)",close_back_inside,1R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_NY_SW0p10_close_back_inside_1p5R,Asia,NY,"max(0.10, ATR14*0.10)",close_back_inside,1.5R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_NY_SW0p10_close_back_inside_plus_0p10_ATR_midpoint,Asia,NY,"max(0.10, ATR14*0.10)",close_back_inside_plus_0.10_ATR,midpoint,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_NY_SW0p10_close_back_inside_plus_0p10_ATR_opposite_side,Asia,NY,"max(0.10, ATR14*0.10)",close_back_inside_plus_0.10_ATR,opposite_side,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_NY_SW0p10_close_back_inside_plus_0p10_ATR_1R,Asia,NY,"max(0.10, ATR14*0.10)",close_back_inside_plus_0.10_ATR,1R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_NY_SW0p10_close_back_inside_plus_0p10_ATR_1p5R,Asia,NY,"max(0.10, ATR14*0.10)",close_back_inside_plus_0.10_ATR,1.5R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_NY_SW0p20_close_back_inside_midpoint,Asia,NY,"max(0.10, ATR14*0.20)",close_back_inside,midpoint,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_NY_SW0p20_close_back_inside_opposite_side,Asia,NY,"max(0.10, ATR14*0.20)",close_back_inside,opposite_side,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_NY_SW0p20_close_back_inside_1R,Asia,NY,"max(0.10, ATR14*0.20)",close_back_inside,1R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_NY_SW0p20_close_back_inside_1p5R,Asia,NY,"max(0.10, ATR14*0.20)",close_back_inside,1.5R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_NY_SW0p20_close_back_inside_plus_0p10_ATR_midpoint,Asia,NY,"max(0.10, ATR14*0.20)",close_back_inside_plus_0.10_ATR,midpoint,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_NY_SW0p20_close_back_inside_plus_0p10_ATR_opposite_side,Asia,NY,"max(0.10, ATR14*0.20)",close_back_inside_plus_0.10_ATR,opposite_side,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_NY_SW0p20_close_back_inside_plus_0p10_ATR_1R,Asia,NY,"max(0.10, ATR14*0.20)",close_back_inside_plus_0.10_ATR,1R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_NY_SW0p20_close_back_inside_plus_0p10_ATR_1p5R,Asia,NY,"max(0.10, ATR14*0.20)",close_back_inside_plus_0.10_ATR,1.5R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_NY_SW0p35_close_back_inside_midpoint,Asia,NY,"max(0.10, ATR14*0.35)",close_back_inside,midpoint,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_NY_SW0p35_close_back_inside_opposite_side,Asia,NY,"max(0.10, ATR14*0.35)",close_back_inside,opposite_side,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_NY_SW0p35_close_back_inside_1R,Asia,NY,"max(0.10, ATR14*0.35)",close_back_inside,1R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_NY_SW0p35_close_back_inside_1p5R,Asia,NY,"max(0.10, ATR14*0.35)",close_back_inside,1.5R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_NY_SW0p35_close_back_inside_plus_0p10_ATR_midpoint,Asia,NY,"max(0.10, ATR14*0.35)",close_back_inside_plus_0.10_ATR,midpoint,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_NY_SW0p35_close_back_inside_plus_0p10_ATR_opposite_side,Asia,NY,"max(0.10, ATR14*0.35)",close_back_inside_plus_0.10_ATR,opposite_side,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_NY_SW0p35_close_back_inside_plus_0p10_ATR_1R,Asia,NY,"max(0.10, ATR14*0.35)",close_back_inside_plus_0.10_ATR,1R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_Asia_NY_SW0p35_close_back_inside_plus_0p10_ATR_1p5R,Asia,NY,"max(0.10, ATR14*0.35)",close_back_inside_plus_0.10_ATR,1.5R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_London_SW0p10_close_back_inside_midpoint,PriorDay,London,"max(0.10, ATR14*0.10)",close_back_inside,midpoint,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_London_SW0p10_close_back_inside_opposite_side,PriorDay,London,"max(0.10, ATR14*0.10)",close_back_inside,opposite_side,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_London_SW0p10_close_back_inside_1R,PriorDay,London,"max(0.10, ATR14*0.10)",close_back_inside,1R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_London_SW0p10_close_back_inside_1p5R,PriorDay,London,"max(0.10, ATR14*0.10)",close_back_inside,1.5R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_London_SW0p10_close_back_inside_plus_0p10_ATR_midpoint,PriorDay,London,"max(0.10, ATR14*0.10)",close_back_inside_plus_0.10_ATR,midpoint,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_London_SW0p10_close_back_inside_plus_0p10_ATR_opposite_side,PriorDay,London,"max(0.10, ATR14*0.10)",close_back_inside_plus_0.10_ATR,opposite_side,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_London_SW0p10_close_back_inside_plus_0p10_ATR_1R,PriorDay,London,"max(0.10, ATR14*0.10)",close_back_inside_plus_0.10_ATR,1R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_London_SW0p10_close_back_inside_plus_0p10_ATR_1p5R,PriorDay,London,"max(0.10, ATR14*0.10)",close_back_inside_plus_0.10_ATR,1.5R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_London_SW0p20_close_back_inside_midpoint,PriorDay,London,"max(0.10, ATR14*0.20)",close_back_inside,midpoint,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_London_SW0p20_close_back_inside_opposite_side,PriorDay,London,"max(0.10, ATR14*0.20)",close_back_inside,opposite_side,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_London_SW0p20_close_back_inside_1R,PriorDay,London,"max(0.10, ATR14*0.20)",close_back_inside,1R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_London_SW0p20_close_back_inside_1p5R,PriorDay,London,"max(0.10, ATR14*0.20)",close_back_inside,1.5R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_London_SW0p20_close_back_inside_plus_0p10_ATR_midpoint,PriorDay,London,"max(0.10, ATR14*0.20)",close_back_inside_plus_0.10_ATR,midpoint,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_London_SW0p20_close_back_inside_plus_0p10_ATR_opposite_side,PriorDay,London,"max(0.10, ATR14*0.20)",close_back_inside_plus_0.10_ATR,opposite_side,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_London_SW0p20_close_back_inside_plus_0p10_ATR_1R,PriorDay,London,"max(0.10, ATR14*0.20)",close_back_inside_plus_0.10_ATR,1R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_London_SW0p20_close_back_inside_plus_0p10_ATR_1p5R,PriorDay,London,"max(0.10, ATR14*0.20)",close_back_inside_plus_0.10_ATR,1.5R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_London_SW0p35_close_back_inside_midpoint,PriorDay,London,"max(0.10, ATR14*0.35)",close_back_inside,midpoint,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_London_SW0p35_close_back_inside_opposite_side,PriorDay,London,"max(0.10, ATR14*0.35)",close_back_inside,opposite_side,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_London_SW0p35_close_back_inside_1R,PriorDay,London,"max(0.10, ATR14*0.35)",close_back_inside,1R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_London_SW0p35_close_back_inside_1p5R,PriorDay,London,"max(0.10, ATR14*0.35)",close_back_inside,1.5R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_London_SW0p35_close_back_inside_plus_0p10_ATR_midpoint,PriorDay,London,"max(0.10, ATR14*0.35)",close_back_inside_plus_0.10_ATR,midpoint,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_London_SW0p35_close_back_inside_plus_0p10_ATR_opposite_side,PriorDay,London,"max(0.10, ATR14*0.35)",close_back_inside_plus_0.10_ATR,opposite_side,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_London_SW0p35_close_back_inside_plus_0p10_ATR_1R,PriorDay,London,"max(0.10, ATR14*0.35)",close_back_inside_plus_0.10_ATR,1R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_London_SW0p35_close_back_inside_plus_0p10_ATR_1p5R,PriorDay,London,"max(0.10, ATR14*0.35)",close_back_inside_plus_0.10_ATR,1.5R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_NY_SW0p10_close_back_inside_midpoint,PriorDay,NY,"max(0.10, ATR14*0.10)",close_back_inside,midpoint,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_NY_SW0p10_close_back_inside_opposite_side,PriorDay,NY,"max(0.10, ATR14*0.10)",close_back_inside,opposite_side,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_NY_SW0p10_close_back_inside_1R,PriorDay,NY,"max(0.10, ATR14*0.10)",close_back_inside,1R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_NY_SW0p10_close_back_inside_1p5R,PriorDay,NY,"max(0.10, ATR14*0.10)",close_back_inside,1.5R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_NY_SW0p10_close_back_inside_plus_0p10_ATR_midpoint,PriorDay,NY,"max(0.10, ATR14*0.10)",close_back_inside_plus_0.10_ATR,midpoint,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_NY_SW0p10_close_back_inside_plus_0p10_ATR_opposite_side,PriorDay,NY,"max(0.10, ATR14*0.10)",close_back_inside_plus_0.10_ATR,opposite_side,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_NY_SW0p10_close_back_inside_plus_0p10_ATR_1R,PriorDay,NY,"max(0.10, ATR14*0.10)",close_back_inside_plus_0.10_ATR,1R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_NY_SW0p10_close_back_inside_plus_0p10_ATR_1p5R,PriorDay,NY,"max(0.10, ATR14*0.10)",close_back_inside_plus_0.10_ATR,1.5R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_NY_SW0p20_close_back_inside_midpoint,PriorDay,NY,"max(0.10, ATR14*0.20)",close_back_inside,midpoint,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_NY_SW0p20_close_back_inside_opposite_side,PriorDay,NY,"max(0.10, ATR14*0.20)",close_back_inside,opposite_side,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_NY_SW0p20_close_back_inside_1R,PriorDay,NY,"max(0.10, ATR14*0.20)",close_back_inside,1R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_NY_SW0p20_close_back_inside_1p5R,PriorDay,NY,"max(0.10, ATR14*0.20)",close_back_inside,1.5R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_NY_SW0p20_close_back_inside_plus_0p10_ATR_midpoint,PriorDay,NY,"max(0.10, ATR14*0.20)",close_back_inside_plus_0.10_ATR,midpoint,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_NY_SW0p20_close_back_inside_plus_0p10_ATR_opposite_side,PriorDay,NY,"max(0.10, ATR14*0.20)",close_back_inside_plus_0.10_ATR,opposite_side,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_NY_SW0p20_close_back_inside_plus_0p10_ATR_1R,PriorDay,NY,"max(0.10, ATR14*0.20)",close_back_inside_plus_0.10_ATR,1R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_NY_SW0p20_close_back_inside_plus_0p10_ATR_1p5R,PriorDay,NY,"max(0.10, ATR14*0.20)",close_back_inside_plus_0.10_ATR,1.5R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_NY_SW0p35_close_back_inside_midpoint,PriorDay,NY,"max(0.10, ATR14*0.35)",close_back_inside,midpoint,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_NY_SW0p35_close_back_inside_opposite_side,PriorDay,NY,"max(0.10, ATR14*0.35)",close_back_inside,opposite_side,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_NY_SW0p35_close_back_inside_1R,PriorDay,NY,"max(0.10, ATR14*0.35)",close_back_inside,1R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_NY_SW0p35_close_back_inside_1p5R,PriorDay,NY,"max(0.10, ATR14*0.35)",close_back_inside,1.5R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_NY_SW0p35_close_back_inside_plus_0p10_ATR_midpoint,PriorDay,NY,"max(0.10, ATR14*0.35)",close_back_inside_plus_0.10_ATR,midpoint,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_NY_SW0p35_close_back_inside_plus_0p10_ATR_opposite_side,PriorDay,NY,"max(0.10, ATR14*0.35)",close_back_inside_plus_0.10_ATR,opposite_side,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_NY_SW0p35_close_back_inside_plus_0p10_ATR_1R,PriorDay,NY,"max(0.10, ATR14*0.35)",close_back_inside_plus_0.10_ATR,1R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
ST47B_PriorDay_NY_SW0p35_close_back_inside_plus_0p10_ATR_1p5R,PriorDay,NY,"max(0.10, ATR14*0.35)",close_back_inside_plus_0.10_ATR,1.5R,360,1_per_side_per_reference_range_per_day,PREDEFINED_NOT_OPTIMIZED
