decision,gate_name,gate_kind,description,retained_events,retained_ratio,events,pf_x1,pf_x4,pf_x6,boot_pf_p05_x4,median_x4,total_x4,win_rate_x4,years_positive_x4,year_count,improvement_pf_x4,improvement_pf_x6,improvement_total_x4
STAGE27B_REJECT,london_range_drop_low40,regime,Keep trades when London range is above prior rolling q40; drop low-vol London days.,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.851412305366161,-1.653421789024173,-127.61561
STAGE27B_REJECT,asia_range_drop_low40,regime,Keep trades when Asia range is above prior rolling q40; drop low-vol Asia days.,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.851412305366161,-1.653421789024173,-127.61561
STAGE27B_REJECT,london_range_drop_high70,regime,Keep trades when London range is below prior rolling q70; drop overextended London days.,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.851412305366161,-1.653421789024173,-127.61561
STAGE27B_REJECT,asia_range_drop_high70,regime,Keep trades when Asia range is below prior rolling q70; drop overextended Asia days.,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.851412305366161,-1.653421789024173,-127.61561
STAGE27B_REJECT,london_range_drop_high80,regime,Keep trades when London range is below prior rolling q80; drop overextended London days.,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.851412305366161,-1.653421789024173,-127.61561
STAGE27B_REJECT,asia_range_drop_high80,regime,Keep trades when Asia range is below prior rolling q80; drop overextended Asia days.,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.851412305366161,-1.653421789024173,-127.61561
STAGE27B_REJECT,london_eff_drop_low20,regime,Keep trades when London directional efficiency is above prior rolling q20.,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.851412305366161,-1.653421789024173,-127.61561
STAGE27B_REJECT,london_eff_drop_low30,regime,Keep trades when London directional efficiency is above prior rolling q30.,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.851412305366161,-1.653421789024173,-127.61561
STAGE27B_REJECT,london_range_drop_low30_and_h1_atr_drop_high70,combo,London low-range gate plus removal of high H1 volatility.,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.851412305366161,-1.653421789024173,-127.61561
STAGE27B_REJECT,london_range_drop_low30_and_london_aligned,combo,London low-range gate plus London-direction alignment.,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.851412305366161,-1.653421789024173,-127.61561
STAGE27B_REJECT,london_range_drop_low30_and_h1_aligned,combo,London low-range gate plus H1-bias alignment.,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.851412305366161,-1.653421789024173,-127.61561
STAGE27B_REJECT,london_range_drop_low30_and_short_only,combo_direction_diag,Diagnostic: London low-range gate plus short-only direction filter.,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.851412305366161,-1.653421789024173,-127.61561
STAGE27B_REJECT,drop_london_aligned,bias,Keep trades against pre-entry London direction.,1,0.01,1,0.0,0.0,0.0,0.0,-4.087289999999999,-4.087289999999999,0.0,0,1,-2.851412305366161,-1.653421789024173,-131.7029
