priority,set_name,candidate_list,reason,next_action,commercial_status
11,CALENDAR_FULL_INVERTED,calendar_drop_friday_h13_tp06_sl065;calendar_drop_friday_h9_tp06_sl065;calendar_drop_monday_h13_tp06_sl065,"Weak core metrics: pf=0.866, avg=-0.346, wr=0.396.",KILL_OR_REPAIR_ONLY,RESEARCH_ONLY_NO_EA_NO_PAPER_LIVE_NO_ORDER
12,CALENDAR_FRIDAY_ONLY_INVERTED,calendar_drop_friday_h13_tp06_sl065;calendar_drop_friday_h9_tp06_sl065,"Weak core metrics: pf=0.848, avg=-0.387, wr=0.395.",KILL_OR_REPAIR_ONLY,RESEARCH_ONLY_NO_EA_NO_PAPER_LIVE_NO_ORDER
13,VOL_TRANS_FOLLOW_SINGLE_RAW::vol_trans_follow_h1_low_to_high_h13_tp06_sl065,vol_trans_follow_h1_low_to_high_h13_tp06_sl065,"Weak core metrics: pf=0.844, avg=-0.474, wr=0.600.",KILL_OR_REPAIR_ONLY,RESEARCH_ONLY_NO_EA_NO_PAPER_LIVE_NO_ORDER
14,CALENDAR_MONDAY_ONLY_RAW,calendar_drop_monday_h13_tp06_sl065,"Weak core metrics: pf=0.818, avg=-0.457, wr=0.500.",KILL_OR_REPAIR_ONLY,RESEARCH_ONLY_NO_EA_NO_PAPER_LIVE_NO_ORDER
15,CALENDAR_SINGLE_RAW::calendar_drop_monday_h13_tp06_sl065,calendar_drop_monday_h13_tp06_sl065,"Weak core metrics: pf=0.818, avg=-0.457, wr=0.500.",KILL_OR_REPAIR_ONLY,RESEARCH_ONLY_NO_EA_NO_PAPER_LIVE_NO_ORDER
16,FAMILY_FULL_RAW::volatility_transition_v1,vol_trans_fade_h1_low_to_high_h12_tp06_sl065;vol_trans_follow_h1_low_to_high_h12_tp06_sl065;vol_trans_follow_h1_low_to_high_h13_tp06_sl065,"Weak core metrics: pf=0.793, avg=-0.639, wr=0.586.",KILL_OR_REPAIR_ONLY,RESEARCH_ONLY_NO_EA_NO_PAPER_LIVE_NO_ORDER
17,CALENDAR_SINGLE_INVERTED::calendar_drop_friday_h9_tp06_sl065,calendar_drop_friday_h9_tp06_sl065,"Weak core metrics: pf=0.780, avg=-0.550, wr=0.458.",KILL_OR_REPAIR_ONLY,RESEARCH_ONLY_NO_EA_NO_PAPER_LIVE_NO_ORDER
18,VOL_TRANS_FADE_FULL_INVERTED,vol_trans_fade_h1_low_to_high_h12_tp06_sl065,"Weak core metrics: pf=0.770, avg=-0.668, wr=0.316.",KILL_OR_REPAIR_ONLY,RESEARCH_ONLY_NO_EA_NO_PAPER_LIVE_NO_ORDER
19,VOL_TRANS_FADE_SINGLE_INVERTED::vol_trans_fade_h1_low_to_high_h12_tp06_sl065,vol_trans_fade_h1_low_to_high_h12_tp06_sl065,"Weak core metrics: pf=0.770, avg=-0.668, wr=0.316.",KILL_OR_REPAIR_ONLY,RESEARCH_ONLY_NO_EA_NO_PAPER_LIVE_NO_ORDER
20,HANDOFF_SINGLE_MEMBER::handoff_align_follow_h15_tp06_sl065,handoff_align_follow_h15_tp06_sl065,Single-member handoff is not enough for fast path; keep only through repaired h13+h14 family.,DO_NOT_WAIT_SINGLE_VARIANT_N40,RESEARCH_ONLY_NO_EA_NO_PAPER_LIVE_NO_ORDER
21,VOL_TRANS_FOLLOW_FULL_RAW,vol_trans_follow_h1_low_to_high_h12_tp06_sl065;vol_trans_follow_h1_low_to_high_h13_tp06_sl065,"Weak core metrics: pf=0.635, avg=-1.276, wr=0.538.",KILL_OR_REPAIR_ONLY,RESEARCH_ONLY_NO_EA_NO_PAPER_LIVE_NO_ORDER
22,VOL_TRANS_FOLLOW_SINGLE_RAW::vol_trans_follow_h1_low_to_high_h12_tp06_sl065,vol_trans_follow_h1_low_to_high_h12_tp06_sl065,"Weak core metrics: pf=0.468, avg=-2.119, wr=0.474.",KILL_OR_REPAIR_ONLY,RESEARCH_ONLY_NO_EA_NO_PAPER_LIVE_NO_ORDER
